Test,items,Value,Time
00Uncorrelated,n00050,20128.0,0.7089264392852783
00Uncorrelated,n00100,322418.0,18.564594984054565
00Uncorrelated,n00200,82246.0,10.21173882484436
00Uncorrelated,n00500,201122.0,63.416845083236694
00Uncorrelated,n01000,394652.0,221.948410987854
01WeaklyCorrelated,n00050,15524.0,0.6400718688964844
01WeaklyCorrelated,n00100,30693.0,2.291677236557007
01WeaklyCorrelated,n00200,56463.0,8.05919885635376
01WeaklyCorrelated,n00500,137764.0,46.78065013885498
01WeaklyCorrelated,n01000,270137.0,194.6212499141693
02StronglyCorrelated,n00050,17238.0,0.8636648654937744
02StronglyCorrelated,n00100,35317.0,2.88820481300354
02StronglyCorrelated,n00200,64662.0,10.225847005844116
02StronglyCorrelated,n00500,160775.0,61.40784287452698
02StronglyCorrelated,n01000,313267.0,230.47311449050903
03InverseStronglyCorrelated,n00050,14714.0,0.8173277378082275
03InverseStronglyCorrelated,n00100,30067.0,2.854630947113037
03InverseStronglyCorrelated,n00200,54464.0,11.084848165512085
03InverseStronglyCorrelated,n00500,134931.0,59.556034088134766
03InverseStronglyCorrelated,n01000,260873.0,195.0136845111847
04AlmostStronglyCorrelated,n00050,17343.0,0.6658637523651123
04AlmostStronglyCorrelated,n00100,35204.0,2.367837905883789
04AlmostStronglyCorrelated,n00200,64776.0,8.158779382705688
04AlmostStronglyCorrelated,n00500,160451.0,50.76574730873108
04AlmostStronglyCorrelated,n01000,312789.0,196.02668499946594
05SubsetSum,n00050,14239.0,0.7124354839324951
05SubsetSum,n00100,29017.0,2.4147753715515137
05SubsetSum,n00200,51563.0,8.142505168914795
05SubsetSum,n00500,127278.0,53.262579917907715
05SubsetSum,n01000,245972.0,214.1781256198883
06UncorrelatedWithSimilarWeights,n00050,18823.0,0.8350272178649902
06UncorrelatedWithSimilarWeights,n00100,39397.0,2.880366802215576
06UncorrelatedWithSimilarWeights,n00200,75069.0,10.27969479560852
06UncorrelatedWithSimilarWeights,n00500,186125.0,55.903162479400635
06UncorrelatedWithSimilarWeights,n01000,352369.0,206.65535855293274
07SpannerUncorrelated,n00050,13248.0,0.8464281558990479
07SpannerUncorrelated,n00100,23936.0,2.3699464797973633
07SpannerUncorrelated,n00200,47224.0,10.057849645614624
07SpannerUncorrelated,n00500,113548.0,55.50638246536255
07SpannerUncorrelated,n01000,227116.0,193.20402884483337
08SpannerWeaklyCorrelated,n00050,10354.0,0.822282075881958
08SpannerWeaklyCorrelated,n00100,20426.0,2.8526859283447266
08SpannerWeaklyCorrelated,n00200,39994.0,10.306739330291748
08SpannerWeaklyCorrelated,n00500,97853.0,59.03259229660034
08SpannerWeaklyCorrelated,n01000,192334.0,197.35504293441772
09SpannerStronglyCorrelated,n00050,28216.0,0.7973990440368652
09SpannerStronglyCorrelated,n00100,51152.0,2.839160442352295
09SpannerStronglyCorrelated,n00200,101384.0,9.672430992126465
09SpannerStronglyCorrelated,n00500,243992.0,49.23244118690491
09SpannerStronglyCorrelated,n01000,485704.0,193.4777956008911
10MultipleStronglyCorrelated,n00050,20929.0,0.7750418186187744
10MultipleStronglyCorrelated,n00100,42515.0,2.3117079734802246
10MultipleStronglyCorrelated,n00200,80456.0,9.385185718536377
10MultipleStronglyCorrelated,n00500,200378.0,49.78530287742615
10MultipleStronglyCorrelated,n01000,389665.0,194.50416612625122
11ProfitCeiling,n00050,14220.0,0.7029714584350586
11ProfitCeiling,n00100,28977.0,2.295180082321167
11ProfitCeiling,n00200,51501.0,7.783121824264526
11ProfitCeiling,n00500,127176.0,48.05860996246338
11ProfitCeiling,n01000,245763.0,184.18683385849
12Circle,n00050,300024.0,0.721285343170166
12Circle,n00100,611405.0,2.3241124153137207
12Circle,n00200,1086464.0,7.822921514511108
12Circle,n00500,2681822.0,46.5052809715271
12Circle,n01000,5182788.0,189.2706480026245
