Test,items,Value,Time
00Uncorrelated,n00050,20347.0,0.9008667469024658
00Uncorrelated,n00100,314253.0,18.135714292526245
00Uncorrelated,n00200,81030.0,7.834850072860718
00Uncorrelated,n00500,197675.0,50.5093891620636
00Uncorrelated,n01000,388046.0,179.52909970283508
01WeaklyCorrelated,n00050,15649.0,0.642120361328125
01WeaklyCorrelated,n00100,30484.0,2.5772762298583984
01WeaklyCorrelated,n00200,56013.0,7.903213977813721
01WeaklyCorrelated,n00500,136653.0,46.9741153717041
01WeaklyCorrelated,n01000,268354.0,180.21342945098877
02StronglyCorrelated,n00050,17120.0,0.6117022037506104
02StronglyCorrelated,n00100,35214.0,2.0533313751220703
02StronglyCorrelated,n00200,64861.0,7.177473545074463
02StronglyCorrelated,n00500,160578.0,47.95333552360535
02StronglyCorrelated,n01000,312872.0,174.67755389213562
03InverseStronglyCorrelated,n00050,14811.0,0.6489291191101074
03InverseStronglyCorrelated,n00100,29966.0,2.1823644638061523
03InverseStronglyCorrelated,n00200,54360.0,7.5512855052948
03InverseStronglyCorrelated,n00500,134331.0,46.11131238937378
03InverseStronglyCorrelated,n01000,260020.0,196.87068819999695
04AlmostStronglyCorrelated,n00050,17247.0,0.8340744972229004
04AlmostStronglyCorrelated,n00100,35197.0,3.175116777420044
04AlmostStronglyCorrelated,n00200,64567.0,10.880526542663574
04AlmostStronglyCorrelated,n00500,160058.0,63.49707579612732
04AlmostStronglyCorrelated,n01000,311986.0,192.53180980682373
05SubsetSum,n00050,14239.0,0.7320718765258789
05SubsetSum,n00100,29017.0,2.445838212966919
05SubsetSum,n00200,51563.0,8.155422925949097
05SubsetSum,n00500,127278.0,47.7933828830719
05SubsetSum,n01000,245972.0,173.35596418380737
06UncorrelatedWithSimilarWeights,n00050,18441.0,0.7177062034606934
06UncorrelatedWithSimilarWeights,n00100,38792.0,2.2736330032348633
06UncorrelatedWithSimilarWeights,n00200,74327.0,8.202155828475952
06UncorrelatedWithSimilarWeights,n00500,180657.0,46.82637619972229
06UncorrelatedWithSimilarWeights,n01000,350220.0,180.10130763053894
07SpannerUncorrelated,n00050,13188.0,0.7674829959869385
07SpannerUncorrelated,n00100,23892.0,2.305980920791626
07SpannerUncorrelated,n00200,47672.0,8.393159866333008
07SpannerUncorrelated,n00500,112496.0,48.8095862865448
07SpannerUncorrelated,n01000,224780.0,189.38189053535461
08SpannerWeaklyCorrelated,n00050,10261.0,0.8690216541290283
08SpannerWeaklyCorrelated,n00100,20160.0,2.5719707012176514
08SpannerWeaklyCorrelated,n00200,39635.0,8.80988597869873
08SpannerWeaklyCorrelated,n00500,97130.0,47.433899879455566
08SpannerWeaklyCorrelated,n01000,191753.0,171.1285183429718
09SpannerStronglyCorrelated,n00050,28240.0,0.6729228496551514
09SpannerStronglyCorrelated,n00100,51456.0,2.2240254878997803
09SpannerStronglyCorrelated,n00200,100888.0,8.391878366470337
09SpannerStronglyCorrelated,n00500,243792.0,50.01615524291992
09SpannerStronglyCorrelated,n01000,485904.0,173.47715210914612
10MultipleStronglyCorrelated,n00050,20600.0,0.6380064487457275
10MultipleStronglyCorrelated,n00100,42725.0,2.4118871688842773
10MultipleStronglyCorrelated,n00200,80141.0,7.714761734008789
10MultipleStronglyCorrelated,n00500,199877.0,44.408533573150635
10MultipleStronglyCorrelated,n01000,388464.0,183.38685631752014
11ProfitCeiling,n00050,14217.0,0.6352381706237793
11ProfitCeiling,n00100,28980.0,2.18690824508667
11ProfitCeiling,n00200,51498.0,7.2502076625823975
11ProfitCeiling,n00500,127176.0,44.1735360622406
11ProfitCeiling,n01000,245760.0,164.40575528144836
12Circle,n00050,300025.0,0.6413590908050537
12Circle,n00100,611405.0,2.137233018875122
12Circle,n00200,1086460.0,7.21442723274231
12Circle,n00500,2681816.0,43.376864433288574
12Circle,n01000,5182796.0,160.61113047599792
