Test,items,Value,Time
00Uncorrelated,n00050,19325.0,0.6924657821655273
00Uncorrelated,n00100,300092.0,16.38621973991394
00Uncorrelated,n00200,79221.0,8.205225944519043
00Uncorrelated,n00500,190358.0,43.14998006820679
00Uncorrelated,n01000,380628.0,183.3500373363495
01WeaklyCorrelated,n00050,15539.0,0.7561933994293213
01WeaklyCorrelated,n00100,30470.0,2.9234378337860107
01WeaklyCorrelated,n00200,55654.0,7.959775924682617
01WeaklyCorrelated,n00500,135902.0,46.37823462486267
01WeaklyCorrelated,n01000,266147.0,173.10746240615845
02StronglyCorrelated,n00050,17332.0,0.7395401000976562
02StronglyCorrelated,n00100,34914.0,2.352956533432007
02StronglyCorrelated,n00200,64461.0,8.981861591339111
02StronglyCorrelated,n00500,159778.0,50.331244707107544
02StronglyCorrelated,n01000,310072.0,187.07314610481262
03InverseStronglyCorrelated,n00050,14612.0,0.5761830806732178
03InverseStronglyCorrelated,n00100,29868.0,2.073629140853882
03InverseStronglyCorrelated,n00200,54378.0,7.83053731918335
03InverseStronglyCorrelated,n00500,133929.0,42.27729272842407
03InverseStronglyCorrelated,n01000,258777.0,186.28486323356628
04AlmostStronglyCorrelated,n00050,17317.0,0.7506706714630127
04AlmostStronglyCorrelated,n00100,35009.0,2.3147780895233154
04AlmostStronglyCorrelated,n00200,64382.0,7.712610483169556
04AlmostStronglyCorrelated,n00500,159524.0,48.523975133895874
04AlmostStronglyCorrelated,n01000,310393.0,171.9843990802765
05SubsetSum,n00050,14239.0,0.651557445526123
05SubsetSum,n00100,29017.0,2.1034140586853027
05SubsetSum,n00200,51563.0,7.3933985233306885
05SubsetSum,n00500,127278.0,44.08480095863342
05SubsetSum,n01000,245972.0,172.96709895133972
06UncorrelatedWithSimilarWeights,n00050,18311.0,0.7042028903961182
06UncorrelatedWithSimilarWeights,n00100,38800.0,2.2960879802703857
06UncorrelatedWithSimilarWeights,n00200,74042.0,9.503917455673218
06UncorrelatedWithSimilarWeights,n00500,179760.0,53.6487033367157
06UncorrelatedWithSimilarWeights,n01000,336651.0,184.1242754459381
07SpannerUncorrelated,n00050,13016.0,0.6577918529510498
07SpannerUncorrelated,n00100,23504.0,2.1267004013061523
07SpannerUncorrelated,n00200,46724.0,7.4459755420684814
07SpannerUncorrelated,n00500,112832.0,45.575581550598145
07SpannerUncorrelated,n01000,222488.0,181.46546483039856
08SpannerWeaklyCorrelated,n00050,10323.0,0.6667406558990479
08SpannerWeaklyCorrelated,n00100,19641.0,4.799363374710083
08SpannerWeaklyCorrelated,n00200,39524.0,8.2251615524292
08SpannerWeaklyCorrelated,n00500,97569.0,42.249000549316406
08SpannerWeaklyCorrelated,n01000,189953.0,175.49824023246765
09SpannerStronglyCorrelated,n00050,28328.0,0.7050457000732422
09SpannerStronglyCorrelated,n00100,51152.0,2.249119281768799
09SpannerStronglyCorrelated,n00200,100584.0,8.845489501953125
09SpannerStronglyCorrelated,n00500,243496.0,44.75126576423645
09SpannerStronglyCorrelated,n01000,484800.0,174.96091532707214
10MultipleStronglyCorrelated,n00050,20737.0,0.7752878665924072
10MultipleStronglyCorrelated,n00100,42416.0,2.2042248249053955
10MultipleStronglyCorrelated,n00200,79648.0,8.260010480880737
10MultipleStronglyCorrelated,n00500,197772.0,45.75798416137695
10MultipleStronglyCorrelated,n01000,386517.0,180.20815896987915
11ProfitCeiling,n00050,14217.0,0.7589216232299805
11ProfitCeiling,n00100,28980.0,2.4793548583984375
11ProfitCeiling,n00200,51495.0,8.126196384429932
11ProfitCeiling,n00500,127134.0,46.24712610244751
11ProfitCeiling,n01000,245721.0,177.2653329372406
12Circle,n00050,300022.0,0.5736315250396729
12Circle,n00100,611406.0,2.1250483989715576
12Circle,n00200,1086458.0,8.368905544281006
12Circle,n00500,2681807.0,50.4666051864624
12Circle,n01000,5182765.0,182.51653265953064
